
255,255,255;255,255,255;255,255,255;181,215,61;255,255,255;178,177,47;174,138,161;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;171,228,147;
181,215,61;178,177,47;181,215,61;181,215,61;178,177,47;178,177,47;174,138,161;181,215,61;255,255,255;178,177,47;174,138,161;171,228,147;171,228,147;255,255,255;171,228,147;171,228,147;
181,215,61;178,177,47;181,215,61;181,215,61;178,177,47;178,177,47;174,138,161;181,215,61;178,177,47;178,177,47;174,138,161;171,228,147;171,228,147;178,177,47;171,228,147;171,228,147;
171,228,147;181,215,61;181,215,61;181,215,61;171,228,147;181,215,61;181,215,61;178,177,47;171,228,147;178,177,47;178,177,47;178,177,47;171,228,147;178,177,47;181,215,61;171,228,147;
231,159,95;255,255,255;241,147,9;255,255,255;255,255,255;255,255,255;255,255,255;238,236,250;255,255,255;234,198,109;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;
231,159,95;241,147,9;241,147,9;231,159,95;231,159,95;234,198,109;241,147,9;238,236,250;234,198,109;234,198,109;234,198,109;238,236,250;231,159,95;234,198,109;241,147,9;255,255,255;
231,159,95;241,147,9;241,147,9;231,159,95;231,159,95;234,198,109;241,147,9;238,236,250;234,198,109;234,198,109;234,198,109;238,236,250;231,159,95;234,198,109;241,147,9;241,147,9;
255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;
